Sn,CODE,Department ,Degree,Hostel,Year of Graduation,City,Country,Designation,Institution,Work Profile,,
1,AL 101,Physics,B.Tech,2and 13,2005,Dallas,USA,Head of data science,Boeing,Head of data science in Boeing.,,
2,AL 102,Mathematics,MSc.,13,2011,Bangalor,India,Data scientist,Accenture,6 years of experience in the field of analytics and data science. Currently I am building models to improve performance of online advertising campaigns,,
3,AL 103,Electrical Engineering,B.Tech,8,2008,Mumbai,India,Head of Analytics,Turtlemint,"Head of Analytics at Turtlemint. CEO at Vainateya Software Consultancy Pvt Ltd. I am now heading a network of senior professionals working in area of manufacturing and supply chain operations. Analytics professional with 8+ years of work experience in Insurance, CPG and IT industry. Working in large organizations and startups, and closely with mulitple functions, have gained working knowledge in multple functions and a good understanding of growing businesses. PGDM IIM Ahmedabad.",,
4,AL 104,Metallurgical ,B.Tech,6,1971,Mumbai,India,Chairman,Avalon Group,"Consulting for corporates across 3 continents on strategic issues involving new investments, dealing with competitive pressures, exploitation of outsourcing opportunities, envisioning the future of the industries with a view to take leadership positions, etc.",,
5,AL 105,Mechanical Engg,B.Tech,4,1994,Mumbai,India,Chief Information & Digital Officer,Tata Chemicals,"Chief Information & Digital Officer at Tata Chemicals. Former  Vice President, Group Chairman's Office at Tata Sons. Previously worked as Managing Partner at Jay Associates",,
6,AL 106,Mechanical,B.Tech,7,2003,Mumbai,India,Founder,Valuefy Solutions,"Co-founder of Valuefy Solutions,Mumbai.Former Project Manager in Fractal Analytics.Former Consultant in Cap Gemini Ernst & Young.Major areas of interest are Fintech, AI and Capital Market.",,
7,AL 107,Aerospace,B.Tech,8,2010,San Francisco,United States,"Manager, Pricing & Analytics",Earnest,"Portfolio Manager with a history in the financial services industry. Currently at a fintech startup called Earnest in San Francisco. Wide variety of project experience including fraud modeling, options pricing, marketing analytics, product management and credit decisioning. ",,
8,AL 108,Metallurgy,M.Tech,H4,2000,Pune,India,CEO,bizAmica Software Pvt. Ltd.,"An accomplished technologist, thought leader and speaker at technology forums; With two decades of experience, he is a CTO and Machine Learning Consultant @ bizAmica Software and organizer of “Data Science and Machine Learning meet”",,
9,AL 109,Earth Sciences,PhD,1,1983,Chennai,India,Retired,Reliance Industries Ltd. Oil & Gas,"Rtd. Seniour Reservoir Geologist at ADCO.Former CIO, CTO and Chief Reserves Assurance at Reliance Industries Ltd. Oil & Gas.",,
10,AL 110,Sales and operations,M.Tech,"6, 7, 8",1999,Bangalore,India,Sales Director,Bizviz Technologies,"Works in Sales and operations in Analytics field.PGSEM from IIM Bangalore and Ph.D. from IIM Lucknow. Sales Director of Big Data BizViz,Bengaluru.Former Director, Product Delivery at SAP,Bengaluru.Former Senior Project Manager, Software as a Service at Oracle",,
